partition,lemma,feature,unimorph_features,form,source_rows
train,enormify,past,V;PST,enormified,15105
train,enormify,participle,V;V.PTCP;PRS,enormifying,15104
train,enormify,third_person,V;PRS;3;SG,enormifies,15103
train,valedict,past,V;PST,valedicted,156361
train,valedict,participle,V;V.PTCP;PRS,valedicting,156360
train,valedict,third_person,V;PRS;3;SG,valedicts,156359
train,coquette,past,V;PST,coquetted,125003
train,coquette,participle,V;V.PTCP;PRS,coquetting,125002
train,coquette,third_person,V;PRS;3;SG,coquettes,125001
train,lynch,past,V;PST,lynched,38393
train,lynch,participle,V;V.PTCP;PRS,lynching,38392
train,lynch,third_person,V;PRS;3;SG,lynches,38391
train,flog,past,V;PST,flogged,75158
train,flog,participle,V;V.PTCP;PRS,flogging,75157
train,flog,third_person,V;PRS;3;SG,flogs,75156
train,detoxify,past,V;PST,detoxified,125955
train,detoxify,participle,V;V.PTCP;PRS,detoxifying,125954
train,detoxify,third_person,V;PRS;3;SG,detoxifies,125953
train,jink,past,V;PST,jinked,129979
train,jink,participle,V;V.PTCP;PRS,jinking,129978
train,jink,third_person,V;PRS;3;SG,jinks,129977
train,spike,past,V;PST,spiked,126846
train,spike,participle,V;V.PTCP;PRS,spiking,126845
train,spike,third_person,V;PRS;3;SG,spikes,126844
train,modify,past,V;PST,modified,126051
train,modify,participle,V;V.PTCP;PRS,modifying,126050
train,modify,third_person,V;PRS;3;SG,modifies,126049
train,fakie,past,V;PST,fakied,57445
train,fakie,participle,V;V.PTCP;PRS,fakieing,57444
train,fakie,third_person,V;PRS;3;SG,fakies,57443
train,pregrind,past,V;PST,preground,105120
train,pregrind,participle,V;V.PTCP;PRS,pregrinding,105119
train,pregrind,third_person,V;PRS;3;SG,pregrinds,105118
train,resmudge,past,V;PST,resmudged,169022
train,resmudge,participle,V;V.PTCP;PRS,resmudging,169021
train,resmudge,third_person,V;PRS;3;SG,resmudges,169020
train,intercur,past,V;PST,intercurred,170227
train,intercur,participle,V;V.PTCP;PRS,intercurring,170226
train,intercur,third_person,V;PRS;3;SG,intercurs,170225
train,hothouse,past,V;PST,hothoused,89705
train,hothouse,participle,V;V.PTCP;PRS,hothousing,89704
train,hothouse,third_person,V;PRS;3;SG,hothouses,89703
train,nait,past,V;PST,naited,186389
train,nait,participle,V;V.PTCP;PRS,naiting,186388
train,nait,third_person,V;PRS;3;SG,naits,186387
train,mickey,past,V;PST,mickeyed,204689
train,mickey,participle,V;V.PTCP;PRS,mickeying,204688
train,mickey,third_person,V;PRS;3;SG,mickeys,204687
train,renig,past,V;PST,renigged,121263
train,renig,participle,V;V.PTCP;PRS,renigging,121262
train,renig,third_person,V;PRS;3;SG,renigs,121261
train,pinkwash,past,V;PST,pinkwashed,147880
train,pinkwash,participle,V;V.PTCP;PRS,pinkwashing,147879
train,pinkwash,third_person,V;PRS;3;SG,pinkwashes,147878
train,unclutch,past,V;PST,unclutched,136251
train,unclutch,participle,V;V.PTCP;PRS,unclutching,136250
train,unclutch,third_person,V;PRS;3;SG,unclutches,136249
train,unstarch,past,V;PST,unstarched,48694
train,unstarch,participle,V;V.PTCP;PRS,unstarching,48693
train,unstarch,third_person,V;PRS;3;SG,unstarches,48692
train,roll,past,V;PST,rolled,12903
train,roll,participle,V;V.PTCP;PRS,rolling,12902
train,roll,third_person,V;PRS;3;SG,rolls,12901
train,dishable,past,V;PST,dishabled,178407
train,dishable,participle,V;V.PTCP;PRS,dishabling,178406
train,dishable,third_person,V;PRS;3;SG,dishables,178405
train,keb,past,V;PST,kebbed,22321
train,keb,participle,V;V.PTCP;PRS,kebbing,22320
train,keb,third_person,V;PRS;3;SG,kebs,22319
train,pebble,past,V;PST,pebbled,106824
train,pebble,participle,V;V.PTCP;PRS,pebbling,106823
train,pebble,third_person,V;PRS;3;SG,pebbles,106822
train,steg,past,V;PST,stegged,10141
train,steg,participle,V;V.PTCP;PRS,stegging,10140
train,steg,third_person,V;PRS;3;SG,stegs,10139
train,mint,past,V;PST,minted,50658
train,mint,participle,V;V.PTCP;PRS,minting,50657
train,mint,third_person,V;PRS;3;SG,mints,50656
train,rouze,past,V;PST,rouzed,21779
train,rouze,participle,V;V.PTCP;PRS,rouzing,21778
train,rouze,third_person,V;PRS;3;SG,rouzes,21777
train,incute,past,V;PST,incuted,105690
train,incute,participle,V;V.PTCP;PRS,incuting,105689
train,incute,third_person,V;PRS;3;SG,incutes,105688
train,deage,past,V;PST,deaged,32715
train,deage,participle,V;V.PTCP;PRS,deaging,32714
train,deage,third_person,V;PRS;3;SG,deages,32713
train,fabulate,past,V;PST,fabulated,14687
train,fabulate,participle,V;V.PTCP;PRS,fabulating,14686
train,fabulate,third_person,V;PRS;3;SG,fabulates,14685
train,ciswash,past,V;PST,ciswashed,77840
train,ciswash,participle,V;V.PTCP;PRS,ciswashing,77839
train,ciswash,third_person,V;PRS;3;SG,ciswashes,77838
train,ledge,past,V;PST,ledged,184713
train,ledge,participle,V;V.PTCP;PRS,ledging,184712
train,ledge,third_person,V;PRS;3;SG,ledges,184711
train,bald,past,V;PST,balded,151944
train,bald,participle,V;V.PTCP;PRS,balding,151943
train,bald,third_person,V;PRS;3;SG,balds,151942
train,tide,past,V;PST,tided,2248
train,tide,participle,V;V.PTCP;PRS,tiding,2247
train,tide,third_person,V;PRS;3;SG,tides,2246
train,untackle,past,V;PST,untackled,201470
train,untackle,participle,V;V.PTCP;PRS,untackling,201469
train,untackle,third_person,V;PRS;3;SG,untackles,201468
train,umbego,past,V;PST,umbewent,21343
train,umbego,participle,V;V.PTCP;PRS,umbegoing,21342
train,umbego,third_person,V;PRS;3;SG,umbegoes,21341
train,exuviate,past,V;PST,exuviated,50925
train,exuviate,participle,V;V.PTCP;PRS,exuviating,50924
train,exuviate,third_person,V;PRS;3;SG,exuviates,50923
train,toswink,past,V;PST,toswank,134662
train,toswink,participle,V;V.PTCP;PRS,toswinking,134661
train,toswink,third_person,V;PRS;3;SG,toswinks,134660
train,marver,past,V;PST,marvered,16329
train,marver,participle,V;V.PTCP;PRS,marvering,16328
train,marver,third_person,V;PRS;3;SG,marvers,16327
train,banquet,past,V;PST,banqueted,210041
train,banquet,participle,V;V.PTCP;PRS,banqueting,210040
train,banquet,third_person,V;PRS;3;SG,banquets,210039
train,rebus,past,V;PST,rebused,153231
train,rebus,participle,V;V.PTCP;PRS,rebusing,153230
train,rebus,third_person,V;PRS;3;SG,rebuses,153229
train,sausage,past,V;PST,sausaged,107993
train,sausage,participle,V;V.PTCP;PRS,sausaging,107992
train,sausage,third_person,V;PRS;3;SG,sausages,107991
train,norm,past,V;PST,normed,144447
train,norm,participle,V;V.PTCP;PRS,norming,144446
train,norm,third_person,V;PRS;3;SG,norms,144445
train,begnaw,past,V;PST,begnawed,75361
train,begnaw,participle,V;V.PTCP;PRS,begnawing,75360
train,begnaw,third_person,V;PRS;3;SG,begnaws,75359
train,profect,past,V;PST,profected,43015
train,profect,participle,V;V.PTCP;PRS,profecting,43014
train,profect,third_person,V;PRS;3;SG,profects,43013
train,queue,past,V;PST,queued,210422
train,queue,participle,V;V.PTCP;PRS,queueing,210421
train,queue,third_person,V;PRS;3;SG,queues,210420
train,mieve,past,V;PST,mieved,162123
train,mieve,participle,V;V.PTCP;PRS,mieving,162122
train,mieve,third_person,V;PRS;3;SG,mieves,162121
train,poleax,past,V;PST,poleaxed,102467
train,poleax,participle,V;V.PTCP;PRS,poleaxing,102466
train,poleax,third_person,V;PRS;3;SG,poleaxes,102465
train,begin,past,V;PST,began,113740
train,begin,participle,V;V.PTCP;PRS,beginning,113739
train,begin,third_person,V;PRS;3;SG,begins,113738
train,hunker,past,V;PST,hunkered,14333
train,hunker,participle,V;V.PTCP;PRS,hunkering,14332
train,hunker,third_person,V;PRS;3;SG,hunkers,14331
train,entwin,past,V;PST,entwinned,70112
train,entwin,participle,V;V.PTCP;PRS,entwinning,70111
train,entwin,third_person,V;PRS;3;SG,entwins,70110
train,hitch,past,V;PST,hitched,19343
train,hitch,participle,V;V.PTCP;PRS,hitching,19342
train,hitch,third_person,V;PRS;3;SG,hitches,19341
train,giftwrap,past,V;PST,giftwrapped,14945
train,giftwrap,participle,V;V.PTCP;PRS,giftwrapping,14944
train,giftwrap,third_person,V;PRS;3;SG,giftwraps,14943
train,tango,past,V;PST,tangoed,133998
train,tango,participle,V;V.PTCP;PRS,tangoing,133997
train,tango,third_person,V;PRS;3;SG,tangoes,133996
train,rebid,past,V;PST,rebid,208680
train,rebid,participle,V;V.PTCP;PRS,rebidding,208679
train,rebid,third_person,V;PRS;3;SG,rebids,208678
train,deionize,past,V;PST,deionized,143070
train,deionize,participle,V;V.PTCP;PRS,deionizing,143069
train,deionize,third_person,V;PRS;3;SG,deionizes,143068
train,degrow,past,V;PST,degrew,117722
train,degrow,participle,V;V.PTCP;PRS,degrowing,117721
train,degrow,third_person,V;PRS;3;SG,degrows,117720
train,hotfoot,past,V;PST,hotfooted,117975
train,hotfoot,participle,V;V.PTCP;PRS,hotfooting,117974
train,hotfoot,third_person,V;PRS;3;SG,hotfoots,117973
train,wag,past,V;PST,wagged,191218
train,wag,participle,V;V.PTCP;PRS,wagging,191217
train,wag,third_person,V;PRS;3;SG,wags,191216
train,outspin,past,V;PST,outspun,91327
train,outspin,participle,V;V.PTCP;PRS,outspinning,91326
train,outspin,third_person,V;PRS;3;SG,outspins,91325
train,legalise,past,V;PST,legalised,93178
train,legalise,participle,V;V.PTCP;PRS,legalising,93177
train,legalise,third_person,V;PRS;3;SG,legalises,93176
train,outrun,past,V;PST,outran,41166
train,outrun,participle,V;V.PTCP;PRS,outrunning,41165
train,outrun,third_person,V;PRS;3;SG,outruns,41164
train,inwork,past,V;PST,inwrought,4663
train,inwork,participle,V;V.PTCP;PRS,inworking,4662
train,inwork,third_person,V;PRS;3;SG,inworks,4661
train,defib,past,V;PST,defibbed,71518
train,defib,participle,V;V.PTCP;PRS,defibbing,71517
train,defib,third_person,V;PRS;3;SG,defibs,71516
train,one,past,V;PST,oned,52268
train,one,participle,V;V.PTCP;PRS,oning,52267
train,one,third_person,V;PRS;3;SG,ones,52266
train,swoop,past,V;PST,swooped,86497
train,swoop,participle,V;V.PTCP;PRS,swooping,86496
train,swoop,third_person,V;PRS;3;SG,swoops,86495
train,chiv,past,V;PST,chivved,106161
train,chiv,participle,V;V.PTCP;PRS,chivving,106160
train,chiv,third_person,V;PRS;3;SG,chivs,106159
train,commit,past,V;PST,committed,171448
train,commit,participle,V;V.PTCP;PRS,committing,171447
train,commit,third_person,V;PRS;3;SG,commits,171446
train,fort,past,V;PST,forted,71871
train,fort,participle,V;V.PTCP;PRS,forting,71870
train,fort,third_person,V;PRS;3;SG,forts,71869
train,fet,past,V;PST,fet,137288
train,fet,participle,V;V.PTCP;PRS,fetting,137287
train,fet,third_person,V;PRS;3;SG,fets,137286
train,forshake,past,V;PST,forshook,97115
train,forshake,participle,V;V.PTCP;PRS,forshaking,97114
train,forshake,third_person,V;PRS;3;SG,forshakes,97113
train,lager,past,V;PST,lagered,166236
train,lager,participle,V;V.PTCP;PRS,lagering,166235
train,lager,third_person,V;PRS;3;SG,lagers,166234
train,unsoothe,past,V;PST,unsoothed,19202
train,unsoothe,participle,V;V.PTCP;PRS,unsoothing,19201
train,unsoothe,third_person,V;PRS;3;SG,unsoothes,19200
train,outshine,past,V;PST,outshone,201151
train,outshine,participle,V;V.PTCP;PRS,outshining,201150
train,outshine,third_person,V;PRS;3;SG,outshines,201149
train,deeme,past,V;PST,deemed,194786
train,deeme,participle,V;V.PTCP;PRS,deeming,194785
train,deeme,third_person,V;PRS;3;SG,deemes,194784
train,sperg,past,V;PST,sperged,167739
train,sperg,participle,V;V.PTCP;PRS,sperging,167738
train,sperg,third_person,V;PRS;3;SG,spergs,167737
train,diary,past,V;PST,diaried,48289
train,diary,participle,V;V.PTCP;PRS,diarying,48288
train,diary,third_person,V;PRS;3;SG,diaries,48287
train,unstable,past,V;PST,unstabled,209956
train,unstable,participle,V;V.PTCP;PRS,unstabling,209955
train,unstable,third_person,V;PRS;3;SG,unstables,209954
train,sun,past,V;PST,sunned,149883
train,sun,participle,V;V.PTCP;PRS,sunning,149882
train,sun,third_person,V;PRS;3;SG,suns,149881
train,disunify,past,V;PST,disunified,202418
train,disunify,participle,V;V.PTCP;PRS,disunifying,202417
train,disunify,third_person,V;PRS;3;SG,disunifies,202416
train,live,past,V;PST,lived,217299
train,live,participle,V;V.PTCP;PRS,living,217298
train,live,third_person,V;PRS;3;SG,lives,217297
train,picaroon,past,V;PST,picarooned,203694
train,picaroon,participle,V;V.PTCP;PRS,picarooning,203693
train,picaroon,third_person,V;PRS;3;SG,picaroons,203692
train,tress,past,V;PST,tressed,203586
train,tress,participle,V;V.PTCP;PRS,tressing,203585
train,tress,third_person,V;PRS;3;SG,tresses,203584
train,subtag,past,V;PST,subtagged,157305
train,subtag,participle,V;V.PTCP;PRS,subtagging,157304
train,subtag,third_person,V;PRS;3;SG,subtags,157303
train,embrace,past,V;PST,embraced,27131
train,embrace,participle,V;V.PTCP;PRS,embracing,27130
train,embrace,third_person,V;PRS;3;SG,embraces,27129
train,glug,past,V;PST,glugged,12264
train,glug,participle,V;V.PTCP;PRS,glugging,12263
train,glug,third_person,V;PRS;3;SG,glugs,12262
train,rocket,past,V;PST,rocketed,107665
train,rocket,participle,V;V.PTCP;PRS,rocketing,107664
train,rocket,third_person,V;PRS;3;SG,rockets,107663
train,crater,past,V;PST,cratered,19486
train,crater,participle,V;V.PTCP;PRS,cratering,19485
train,crater,third_person,V;PRS;3;SG,craters,19484
train,muckrake,past,V;PST,muckraked,85213
train,muckrake,participle,V;V.PTCP;PRS,muckraking,85212
train,muckrake,third_person,V;PRS;3;SG,muckrakes,85211
train,overhaul,past,V;PST,overhauled,83359
train,overhaul,participle,V;V.PTCP;PRS,overhauling,83358
train,overhaul,third_person,V;PRS;3;SG,overhauls,83357
train,unhive,past,V;PST,unhived,210051
train,unhive,participle,V;V.PTCP;PRS,unhiving,210050
train,unhive,third_person,V;PRS;3;SG,unhives,210049
train,splooge,past,V;PST,splooged,14174
train,splooge,participle,V;V.PTCP;PRS,splooging,14173
train,splooge,third_person,V;PRS;3;SG,splooges,14172
train,telepath,past,V;PST,telepathed,170308
train,telepath,participle,V;V.PTCP;PRS,telepathing,170307
train,telepath,third_person,V;PRS;3;SG,telepaths,170306
train,giddyup,past,V;PST,giddyuped,102698
train,giddyup,participle,V;V.PTCP;PRS,giddyuping,102697
train,giddyup,third_person,V;PRS;3;SG,giddyups,102696
train,depetal,past,V;PST,depetalled,176313
train,depetal,participle,V;V.PTCP;PRS,depetalling,176312
train,depetal,third_person,V;PRS;3;SG,depetals,176311
train,age,past,V;PST,aged,121409
train,age,participle,V;V.PTCP;PRS,ageing,121408
train,age,third_person,V;PRS;3;SG,ages,121407
train,deadleg,past,V;PST,deadlegged,219121
train,deadleg,participle,V;V.PTCP;PRS,deadlegging,219120
train,deadleg,third_person,V;PRS;3;SG,deadlegs,219119
train,calorize,past,V;PST,calorized,71487
train,calorize,participle,V;V.PTCP;PRS,calorizing,71486
train,calorize,third_person,V;PRS;3;SG,calorizes,71485
train,reannex,past,V;PST,reannexed,154840
train,reannex,participle,V;V.PTCP;PRS,reannexing,154839
train,reannex,third_person,V;PRS;3;SG,reannexes,154838
train,twiddle,past,V;PST,twiddled,180118
train,twiddle,participle,V;V.PTCP;PRS,twiddling,180117
train,twiddle,third_person,V;PRS;3;SG,twiddles,180116
train,hacksaw,past,V;PST,hacksawed,90474
train,hacksaw,participle,V;V.PTCP;PRS,hacksawing,90473
train,hacksaw,third_person,V;PRS;3;SG,hacksaws,90472
train,wattle,past,V;PST,wattled,141403
train,wattle,participle,V;V.PTCP;PRS,wattling,141402
train,wattle,third_person,V;PRS;3;SG,wattles,141401
train,shingle,past,V;PST,shingled,8138
train,shingle,participle,V;V.PTCP;PRS,shingling,8137
train,shingle,third_person,V;PRS;3;SG,shingles,8136
train,pant,past,V;PST,panted,67431
train,pant,participle,V;V.PTCP;PRS,panting,67430
train,pant,third_person,V;PRS;3;SG,pants,67429
train,unease,past,V;PST,uneased,94136
train,unease,participle,V;V.PTCP;PRS,uneasing,94135
train,unease,third_person,V;PRS;3;SG,uneases,94134
train,resinize,past,V;PST,resinized,214243
train,resinize,participle,V;V.PTCP;PRS,resinizing,214242
train,resinize,third_person,V;PRS;3;SG,resinizes,214241
train,cartwhip,past,V;PST,cartwhipped,96027
train,cartwhip,participle,V;V.PTCP;PRS,cartwhipping,96026
train,cartwhip,third_person,V;PRS;3;SG,cartwhips,96025
train,survise,past,V;PST,survised,28453
train,survise,participle,V;V.PTCP;PRS,survising,28452
train,survise,third_person,V;PRS;3;SG,survises,28451
train,grouch,past,V;PST,grouched,156738
train,grouch,participle,V;V.PTCP;PRS,grouching,156737
train,grouch,third_person,V;PRS;3;SG,grouches,156736
train,prettify,past,V;PST,prettified,139100
train,prettify,participle,V;V.PTCP;PRS,prettifying,139099
train,prettify,third_person,V;PRS;3;SG,prettifies,139098
train,rescript,past,V;PST,rescripted,31522
train,rescript,participle,V;V.PTCP;PRS,rescripting,31521
train,rescript,third_person,V;PRS;3;SG,rescripts,31520
train,voice,past,V;PST,voiced,120162
train,voice,participle,V;V.PTCP;PRS,voicing,120161
train,voice,third_person,V;PRS;3;SG,voices,120160
train,enmuffle,past,V;PST,enmuffled,44293
train,enmuffle,participle,V;V.PTCP;PRS,enmuffling,44292
train,enmuffle,third_person,V;PRS;3;SG,enmuffles,44291
train,plow,past,V;PST,plowed,219991
train,plow,participle,V;V.PTCP;PRS,plowing,219990
train,plow,third_person,V;PRS;3;SG,plows,219989
train,unplait,past,V;PST,unplaited,209992
train,unplait,participle,V;V.PTCP;PRS,unplaiting,209991
train,unplait,third_person,V;PRS;3;SG,unplaits,209990
train,infill,past,V;PST,infilled,84797
train,infill,participle,V;V.PTCP;PRS,infilling,84796
train,infill,third_person,V;PRS;3;SG,infills,84795
train,skillet,past,V;PST,skilleted,156572
train,skillet,participle,V;V.PTCP;PRS,skilleting,156571
train,skillet,third_person,V;PRS;3;SG,skillets,156570
train,chagrine,past,V;PST,chagrined,40368
train,chagrine,participle,V;V.PTCP;PRS,chagrining,40367
train,chagrine,third_person,V;PRS;3;SG,chagrines,40366
train,declense,past,V;PST,declensed,55229
train,declense,participle,V;V.PTCP;PRS,declensing,55228
train,declense,third_person,V;PRS;3;SG,declenses,55227
train,overlive,past,V;PST,overlived,196244
train,overlive,participle,V;V.PTCP;PRS,overliving,196243
train,overlive,third_person,V;PRS;3;SG,overlives,196242
train,bode,past,V;PST,boded,109926
train,bode,participle,V;V.PTCP;PRS,boding,109925
train,bode,third_person,V;PRS;3;SG,bodes,109924
train,brustle,past,V;PST,brustled,16979
train,brustle,participle,V;V.PTCP;PRS,brustling,16978
train,brustle,third_person,V;PRS;3;SG,brustles,16977
train,undertip,past,V;PST,undertipped,66044
train,undertip,participle,V;V.PTCP;PRS,undertipping,66043
train,undertip,third_person,V;PRS;3;SG,undertips,66042
train,pincer,past,V;PST,pincered,140734
train,pincer,participle,V;V.PTCP;PRS,pincering,140733
train,pincer,third_person,V;PRS;3;SG,pincers,140732
train,futz,past,V;PST,futzed,37472
train,futz,participle,V;V.PTCP;PRS,futzing,37471
train,futz,third_person,V;PRS;3;SG,futzes,37470
train,outspan,past,V;PST,outspanned,165391
train,outspan,participle,V;V.PTCP;PRS,outspanning,165390
train,outspan,third_person,V;PRS;3;SG,outspans,165389
train,malpose,past,V;PST,malposed,113198
train,malpose,participle,V;V.PTCP;PRS,malposing,113197
train,malpose,third_person,V;PRS;3;SG,malposes,113196
train,lube,past,V;PST,lubed,127019
train,lube,participle,V;V.PTCP;PRS,lubing,127018
train,lube,third_person,V;PRS;3;SG,lubes,127017
train,boom,past,V;PST,boomed,147788
train,boom,participle,V;V.PTCP;PRS,booming,147787
train,boom,third_person,V;PRS;3;SG,booms,147786
train,paralyse,past,V;PST,paralysed,14284
train,paralyse,participle,V;V.PTCP;PRS,paralysing,14283
train,paralyse,third_person,V;PRS;3;SG,paralyses,14282
train,parasol,past,V;PST,parasoled,195023
train,parasol,participle,V;V.PTCP;PRS,parasoling,195022
train,parasol,third_person,V;PRS;3;SG,parasols,195021
train,schlomp,past,V;PST,schlomped,189233
train,schlomp,participle,V;V.PTCP;PRS,schlomping,189232
train,schlomp,third_person,V;PRS;3;SG,schlomps,189231
train,prank,past,V;PST,pranked,219246
train,prank,participle,V;V.PTCP;PRS,pranking,219245
train,prank,third_person,V;PRS;3;SG,pranks,219244
train,turney,past,V;PST,turneyed,93086
train,turney,participle,V;V.PTCP;PRS,turneying,93085
train,turney,third_person,V;PRS;3;SG,turneys,93084
train,disapply,past,V;PST,disapplied,42577
train,disapply,participle,V;V.PTCP;PRS,disapplying,42576
train,disapply,third_person,V;PRS;3;SG,disapplies,42575
train,potion,past,V;PST,potioned,214349
train,potion,participle,V;V.PTCP;PRS,potioning,214348
train,potion,third_person,V;PRS;3;SG,potions,214347
train,quirt,past,V;PST,quirted,48720
train,quirt,participle,V;V.PTCP;PRS,quirting,48719
train,quirt,third_person,V;PRS;3;SG,quirts,48718
train,startle,past,V;PST,startled,127866
train,startle,participle,V;V.PTCP;PRS,startling,127865
train,startle,third_person,V;PRS;3;SG,startles,127864
train,vista,past,V;PST,vistaed,158811
train,vista,participle,V;V.PTCP;PRS,vistaing,158810
train,vista,third_person,V;PRS;3;SG,vistas,158809
train,overurge,past,V;PST,overurged,29917
train,overurge,participle,V;V.PTCP;PRS,overurging,29916
train,overurge,third_person,V;PRS;3;SG,overurges,29915
train,idolise,past,V;PST,idolised,29874
train,idolise,participle,V;V.PTCP;PRS,idolising,29873
train,idolise,third_person,V;PRS;3;SG,idolises,29872
train,oceanize,past,V;PST,oceanized,124899
train,oceanize,participle,V;V.PTCP;PRS,oceanizing,124898
train,oceanize,third_person,V;PRS;3;SG,oceanizes,124897
train,ostent,past,V;PST,ostented,133774
train,ostent,participle,V;V.PTCP;PRS,ostenting,133773
train,ostent,third_person,V;PRS;3;SG,ostents,133772
train,bemete,past,V;PST,bemeted,168234
train,bemete,participle,V;V.PTCP;PRS,bemeting,168233
train,bemete,third_person,V;PRS;3;SG,bemetes,168232
train,shirr,past,V;PST,shirred,100882
train,shirr,participle,V;V.PTCP;PRS,shirring,100881
train,shirr,third_person,V;PRS;3;SG,shirrs,100880
train,uptoss,past,V;PST,uptossed,114255
train,uptoss,participle,V;V.PTCP;PRS,uptossing,114254
train,uptoss,third_person,V;PRS;3;SG,uptosses,114253
train,flannel,past,V;PST,flanneled,67649
train,flannel,participle,V;V.PTCP;PRS,flanneling,67648
train,flannel,third_person,V;PRS;3;SG,flannels,67647
train,rase,past,V;PST,rased,133593
train,rase,participle,V;V.PTCP;PRS,rasing,133592
train,rase,third_person,V;PRS;3;SG,rases,133591
train,privish,past,V;PST,privished,144469
train,privish,participle,V;V.PTCP;PRS,privishing,144468
train,privish,third_person,V;PRS;3;SG,privishes,144467
train,betassel,past,V;PST,betasselled,218990
train,betassel,participle,V;V.PTCP;PRS,betasselling,218989
train,betassel,third_person,V;PRS;3;SG,betassels,218988
train,teargas,past,V;PST,teargassed,217405
train,teargas,participle,V;V.PTCP;PRS,teargassing,217404
train,teargas,third_person,V;PRS;3;SG,teargases,217403
train,unmute,past,V;PST,unmuted,75487
train,unmute,participle,V;V.PTCP;PRS,unmuting,75486
train,unmute,third_person,V;PRS;3;SG,unmutes,75485
train,jalouse,past,V;PST,jaloused,66376
train,jalouse,participle,V;V.PTCP;PRS,jalousing,66375
train,jalouse,third_person,V;PRS;3;SG,jalouses,66374
train,bumphle,past,V;PST,bumphled,116837
train,bumphle,participle,V;V.PTCP;PRS,bumphling,116836
train,bumphle,third_person,V;PRS;3;SG,bumphles,116835
train,grave,past,V;PST,graved,168214
train,grave,participle,V;V.PTCP;PRS,graving,168213
train,grave,third_person,V;PRS;3;SG,graves,168212
train,rethatch,past,V;PST,rethatched,89975
train,rethatch,participle,V;V.PTCP;PRS,rethatching,89974
train,rethatch,third_person,V;PRS;3;SG,rethatches,89973
train,medal,past,V;PST,medaled,58423
train,medal,participle,V;V.PTCP;PRS,medaling,58422
train,medal,third_person,V;PRS;3;SG,medals,58421
train,chaunce,past,V;PST,chaunced,41989
train,chaunce,participle,V;V.PTCP;PRS,chauncing,41988
train,chaunce,third_person,V;PRS;3;SG,chaunces,41987
train,petition,past,V;PST,petitioned,46521
train,petition,participle,V;V.PTCP;PRS,petitioning,46520
train,petition,third_person,V;PRS;3;SG,petitions,46519
train,overtry,past,V;PST,overtried,27549
train,overtry,participle,V;V.PTCP;PRS,overtrying,27548
train,overtry,third_person,V;PRS;3;SG,overtries,27547
train,unflag,past,V;PST,unflagged,39138
train,unflag,participle,V;V.PTCP;PRS,unflagging,39137
train,unflag,third_person,V;PRS;3;SG,unflags,39136
train,widdle,past,V;PST,widdled,213560
train,widdle,participle,V;V.PTCP;PRS,widdling,213559
train,widdle,third_person,V;PRS;3;SG,widdles,213558
train,erect,past,V;PST,erected,79582
train,erect,participle,V;V.PTCP;PRS,erecting,79581
train,erect,third_person,V;PRS;3;SG,erects,79580
train,sulfuret,past,V;PST,sulfuretted,101074
train,sulfuret,participle,V;V.PTCP;PRS,sulfuretting,101073
train,sulfuret,third_person,V;PRS;3;SG,sulfurets,101072
train,flare,past,V;PST,flared,176344
