direct_adc,abdomen1_adc,abdomen2_adc,abdomen3_adc,abdomen4_adc
404,52,-10,58,-11
430,56,-4,51,-10
469,60,-4,45,-15
503,61,-10,41,-22
516,59,-17,39,-25
501,57,-21,39,-22
471,55,-21,39,-12
445,57,-17,38,-1
438,62,-12,36,8
453,66,-8,33,12
478,69,-7,30,12
496,70,-7,28,12
492,69,-7,28,12
468,71,-7,31,14
434,76,-6,34,17
411,85,-5,40,19
408,97,-4,45,18
428,109,0,50,16
458,118,5,51,12
483,123,14,50,7
494,123,23,45,3
490,119,31,39,2
479,112,36,34,3
471,104,37,32,4
474,96,34,31,1
488,90,27,30,-8
507,84,15,27,-22
523,77,-4,22,-38
528,68,-28,17,-50
519,59,-53,14,-51
500,53,-74,14,-43
474,52,-85,16,-29
453,57,-85,18,-18
444,65,-76,16,-15
452,72,-65,9,-21
476,75,-60,-3,-33
503,72,-64,-15,-44
522,65,-76,-22,-49
521,59,-92,-23,-48
502,56,-108,-17,-43
474,57,-119,-8,-40
452,60,-126,-1,-42
446,59,-129,3,-48
458,52,-131,1,-56
476,40,-130,-3,-61
490,27,-129,-6,-62
489,18,-125,-6,-59
473,16,-119,-2,-56
453,19,-112,3,-55
438,24,-106,9,-56
438,27,-100,12,-58
455,29,-95,14,-58
483,29,-89,16,-56
509,31,-83,17,-52
522,35,-79,17,-48
516,39,-80,16,-46
495,40,-85,14,-46
472,37,-95,11,-49
460,32,-105,9,-55
464,28,-114,7,-63
479,29,-118,7,-72
491,34,-118,7,-80
488,43,-115,8,-83
471,51,-109,11,-83
456,58,-99,17,-80
457,64,-87,24,-77
479,69,-72,30,-78
509,74,-58,30,-82
525,78,-50,24,-87
514,79,-51,12,-89
481,76,-59,-2,-87
449,71,-71,-13,-81
443,66,-82,-17,-74
465,62,-88,-13,-71
497,61,-89,-5,-73
511,62,-86,5,-78
492,63,-83,13,-82
449,63,-78,17,-84
412,61,-71,16,-81
404,59,-63,11,-76
426,57,-53,4,-71
457,55,-45,-5,-67
469,56,-41,-13,-64
449,58,-42,-15,-61
411,62,-45,-10,-56
383,66,-45,-1,-51
386,67,-42,11,-46
419,64,-36,19,-44
460,55,-30,19,-47
484,44,-28,14,-54
483,34,-35,7,-62
465,30,-48,2,-68
447,32,-67,3,-69
442,40,-85,8,-66
447,49,-97,14,-59
455,56,-101,17,-53
459,57,-98,15,-52
460,55,-91,10,-56
462,51,-85,7,-65
469,47,-84,8,-76
477,45,-91,12,-82
478,42,-101,17,-83
470,39,-110,19,-78
461,37,-114,18,-69
459,38,-109,13,-59
472,44,-97,7,-52
492,55,-83,4,-45
506,68,-75,5,-40
503,79,-76,9,-35
485,84,-86,15,-30
467,82,-101,20,-29
465,76,-114,22,-33
486,70,-118,21,-41
519,68,-111,17,-52
545,69,-98,10,-61
549,71,-82,2,-66
527,70,-72,-6,-65
492,63,-69,-12,-62
459,52,-72,-18,-59
442,40,-75,-20,-58
440,32,-76,-20,-58
445,31,-71,-17,-59
449,36,-62,-10,-56
447,45,-52,0,-48
441,55,-45,11,-37
436,62,-42,22,-27
436,66,-44,30,-20
441,66,-47,34,-19
448,66,-50,33,-22
452,67,-50,30,-29
450,70,-46,25,-34
442,77,-39,20,-38
430,85,-31,17,-37
419,94,-26,16,-34
414,101,-23,17,-27
419,106,-25,20,-19
432,110,-28,25,-10
446,115,-31,32,-2
454,121,-31,41,3
450,128,-28,49,4
438,132,-25,54,1
423,129,-23,52,-6
412,121,-24,43,-12
406,107,-28,30,-16
403,95,-29,17,-15
396,88,-25,10,-12
385,86,-13,9,-9
375,90,3,12,-8
371,93,17,14,-14
376,92,22,11,-24
387,85,16,2,-37
396,75,-1,-9,-47
400,66,-23,-18,-52
402,61,-44,-21,-51
408,61,-61,-20,-47
424,63,-72,-16,-44
445,64,-79,-14,-46
461,62,-86,-16,-52
457,56,-93,-22,-60
430,48,-100,-31,-65
388,40,-104,-40,-65
346,34,-106,-48,-61
320,31,-103,-54,-56
317,31,-97,-56,-53
334,33,-89,-55,-51
363,35,-79,-49,-49
390,37,-70,-40,-46
406,37,-61,-31,-41
405,37,-56,-22,-35
385,36,-52,-15,-32
352,35,-50,-11,-34
318,34,-49,-10,-40
298,33,-47,-12,-48
302,30,-46,-17,-56
332,26,-45,-27,-62
378,22,-46,-38,-65
422,20,-48,-48,-65
447,25,-50,-51,-64
449,35,-50,-47,-59
435,47,-47,-36,-52
420,58,-41,-25,-42
414,63,-33,-17,-32
420,60,-25,-16,-23
432,53,-19,-20,-20
441,46,-15,-24,-23
445,42,-13,-27,-31
448,41,-11,-28,-39
455,43,-11,-29,-45
466,42,-11,-33,-47
476,38,-13,-38,-44
474,33,-18,-43,-40
458,28,-23,-43,-37
434,28,-27,-38,-36
416,33,-27,-28,-37
415,41,-24,-20,-39
434,49,-19,-17,-39
456,55,-15,-19,-37
464,59,-15,-25,-32
446,60,-19,-29,-27
406,60,-23,-28,-23
364,60,-23,-22,-21
342,61,-18,-15,-19
348,63,-7,-11,-17
373,63,5,-13,-14
396,62,10,-21,-13
400,56,7,-33,-13
378,44,-7,-48,-18
340,29,-24,-62,-26
304,13,-38,-74,-38
287,2,-43,-83,-49
294,0,-40,-85,-56
320,5,-31,-81,-59
351,15,-25,-74,-57
374,25,-26,-65,-53
380,31,-34,-59,-49
368,33,-45,-57,-46
343,33,-53,-56,-45
317,34,-56,-55,-44
299,36,-54,-52,-45
297,37,-52,-46,-45
305,34,-56,-41,-47
313,27,-64,-40,-48
308,18,-75,-42,-49
286,11,-80,-46,-47
253,10,-75,-48,-41
228,15,-59,-45,-31
226,25,-37,-38,-20
251,35,-14,-30,-11
289,44,4,-23,-4
319,50,13,-19,0
324,56,14,-16,3
302,63,11,-12,8
265,72,8,-6,16
235,84,9,-1,24
225,95,12,0,28
239,101,16,-5,23
264,100,17,-16,10
284,90,14,-28,-9
285,74,9,-35,-26
266,58,3,-36,-35
239,45,0,-32,-34
215,39,0,-27,-26
207,38,2,-25,-16
214,40,1,-28,-8
231,39,-5,-32,-7
247,34,-15,-35,-12
257,25,-29,-33,-21
258,16,-43,-29,-30
255,10,-55,-26,-37
252,7,-67,-27,-42
249,5,-77,-33,-44
243,2,-85,-42,-45
230,-5,-91,-51,-44
211,-12,-91,-56,-42
194,-19,-87,-58,-40
190,-20,-81,-57,-38
203,-17,-75,-56,-38
229,-11,-72,-57,-38
252,-5,-75,-59,-40
257,-2,-82,-64,-42
239,-4,-91,-70,-44
205,-10,-100,-78,-44
174,-18,-106,-85,-44
161,-25,-109,-91,-42
170,-29,-108,-93,-38
192,-30,-102,-89,-32
212,-27,-94,-81,-27
220,-21,-86,-70,-23
213,-13,-81,-62,-24
202,-8,-80,-58,-30
194,-8,-82,-60,-39
195,-11,-83,-65,-49
198,-16,-83,-72,-56
197,-20,-80,-76,-58
185,-19,-75,-75,-54
164,-15,-71,-71,-47
142,-8,-70,-64,-39
129,-3,-70,-57,-33
127,-1,-71,-53,-30
134,-2,-70,-52,-28
142,-3,-67,-55,-28
145,-3,-63,-59,-27
143,0,-59,-61,-26
137,3,-57,-60,-23
131,7,-55,-54,-20
128,9,-53,-47,-18
128,10,-52,-40,-16
131,12,-52,-36,-15
135,15,-54,-36,-15
138,19,-59,-39,-16
139,21,-65,-43,-16
139,23,-69,-46,-16
140,24,-69,-47,-16
145,24,-65,-45,-16
151,25,-62,-44,-18
154,27,-61,-42,-20
148,28,-66,-42,-22
132,29,-73,-41,-21
110,29,-78,-40,-16
93,30,-79,-37,-10
88,33,-74,-34,-5
101,36,-67,-30,-4
124,39,-62,-24,-8
144,40,-62,-18,-15
149,36,-63,-13,-21
137,29,-64,-10,-23
115,21,-62,-11,-21
98,16,-56,-17,-16
95,15,-49,-24,-12
106,19,-42,-31,-10
122,27,-37,-33,-13
134,35,-34,-30,-19
137,40,-32,-27,-29
132,40,-32,-28,-41
125,34,-38,-35,-54
118,23,-50,-50,-67
112,10,-67,-68,-78
105,-1,-85,-83,-85
95,-6,-96,-88,-85
90,-4,-97,-84,-79
95,4,-87,-71,-69
117,14,-69,-56,-58
155,23,-51,-45,-48
207,29,-37,-38,-39
264,34,-26,-35,-28
324,40,-16,-28,-9
385,51,0,-10,24
449,70,28,23,74
518,99,68,68,138
595,134,116,118,207
677,172,162,161,265
762,204,195,188,300
840,224,206,192,306
902,225,196,177,285
934,208,169,150,248
929,179,135,119,207
885,146,104,91,167
810,118,80,68,131
713,101,62,47,94
602,92,45,25,52
482,84,26,-1,5
354,71,3,-29,-45
217,50,-22,-59,-92
75,22,-45,-86,-131
-63,-6,-64,-108,-159
-189,-27,-76,-121,-174
-292,-37,-81,-123,-177
-366,-34,-79,-115,-166
-406,-23,-69,-97,-144
-409,-6,-53,-72,-114
-381,12,-32,-45,-84
-329,32,-11,-20,-58
-267,52,8,0,-38
-207,71,22,15,-24
-157,88,30,26,-12
-116,99,34,34,-1
-77,103,34,37,8
-34,100,30,37,12
13,91,22,33,9
56,83,12,27,1
85,81,3,24,-7
94,89,0,29,-8
90,107,6,45,1
84,132,21,69,19
89,158,41,98,40
105,178,59,124,58
125,189,74,145,72
137,192,85,160,86
136,191,95,171,103
123,189,106,180,126
106,186,117,189,151
91,180,127,197,176
81,166,130,203,197
71,140,126,206,216
57,102,116,207,235
40,55,105,208,260
25,7,98,210,291
22,-40,96,214,323
36,-84,96,218,352
60,-125,95,218,375
85,-167,88,214,392
98,-211,76,203,407
92,-257,61,189,424
72,-305,44,171,440
47,-353,26,152,453
29,-402,5,131,457
24,-449,-23,108,448
34,-496,-56,79,430
51,-539,-92,47,405
68,-576,-124,14,381
79,-604,-147,-17,363
81,-621,-157,-39,351
73,-627,-157,-49,346
59,-623,-150,-47,342
44,-612,-143,-36,337
33,-598,-141,-22,325
31,-581,-145,-13,303
37,-562,-154,-14,270
48,-539,-165,-27,228
58,-511,-173,-48,180
61,-474,-177,-73,131
55,-428,-178,-97,80
46,-374,-176,-119,28
39,-316,-174,-138,-28
41,-257,-173,-156,-85
51,-203,-174,-173,-139
66,-157,-176,-188,-183
82,-122,-176,-198,-209
96,-98,-175,-201,-218
109,-81,-172,-199,-215
124,-69,-167,-193,-207
141,-59,-163,-188,-206
152,-49,-161,-187,-213
151,-39,-162,-191,-228
134,-31,-168,-199,-246
109,-24,-177,-208,-261
90,-21,-186,-215,-271
89,-20,-193,-220,-275
111,-23,-197,-220,-276
145,-25,-196,-218,-275
174,-27,-192,-214,-273
182,-27,-189,-208,-272
168,-24,-187,-202,-269
140,-19,-187,-193,-264
112,-12,-187,-182,-254
97,-7,-183,-166,-240
93,-2,-175,-147,-221
96,1,-163,-127,-202
99,3,-149,-109,-186
99,6,-136,-95,-175
98,10,-124,-86,-167
99,13,-114,-79,-160
98,16,-105,-72,-151
93,18,-95,-63,-138
78,18,-88,-53,-122
55,18,-84,-44,-104
34,20,-85,-37,-87
23,25,-89,-31,-71
24,33,-92,-24,-57
32,42,-91,-15,-45
36,50,-86,-3,-36
31,54,-78,8,-30
18,54,-72,12,-29
8,50,-71,6,-32
15,45,-76,-10,-38
41,40,-84,-31,-45
79,35,-92,-52,-51
112,30,-96,-67,-55
126,26,-96,-73,-56
115,23,-94,-72,-55
87,23,-91,-66,-52
56,25,-88,-57,-47
38,29,-87,-47,-43
39,33,-86,-38,-41
55,34,-87,-31,-41
76,32,-90,-28,-40
91,27,-95,-27,-38
92,22,-102,-28,-31
82,20,-106,-28,-21
69,24,-105,-25,-11
62,32,-96,-19,-2
67,45,-81,-8,3
82,59,-64,3,6
99,71,-50,13,9
110,81,-40,20,13
111,87,-35,25,20
102,89,-33,28,26
92,89,-30,28,30
85,86,-26,26,29
83,81,-21,20,22
81,75,-17,11,12
72,66,-18,-1,-1
54,56,-26,-11,-15
32,44,-38,-17,-27
17,31,-54,-18,-36
14,18,-70,-16,-41
25,7,-81,-13,-42
39,1,-87,-9,-38
48,1,-86,-7,-29
45,6,-80,-4,-20
39,13,-72,0,-13
41,18,-66,3,-11
59,18,-64,7,-14
88,14,-67,9,-21
116,8,-72,9,-28
124,4,-77,9,-33
108,3,-81,7,-36
73,6,-84,4,-37
38,9,-85,0,-37
23,8,-86,-5,-36
32,4,-86,-12,-35
61,-3,-84,-18,-30
95,-7,-79,-21,-22
118,-5,-71,-20,-10
123,4,-62,-15,2
115,17,-53,-8,10
100,30,-46,-2,11
86,37,-39,-1,7
77,38,-33,-5,-1
74,33,-28,-11,-7
75,26,-25,-17,-10
79,20,-25,-20,-7
86,18,-27,-19,-3
93,18,-30,-13,3
97,20,-34,-6,6
95,22,-36,0,7
83,22,-39,3,5
62,20,-43,4,3
37,16,-48,3,1
15,13,-55,3,1
1,13,-59,3,4
-1,15,-59,4,7
7,19,-55,5,9
21,19,-49,5,8
36,14,-45,4,5
49,2,-47,1,0
56,-12,-54,-4,-5
55,-25,-63,-12,-8
44,-29,-68,-20,-9
27,-25,-66,-25,-9
9,-14,-58,-26,-8
2,-2,-49,-21,-9
11,3,-45,-13,-12
35,-2,-51,-7,-19
61,-16,-64,-6,-26
73,-32,-78,-10,-31
62,-45,-87,-16,-32
30,-50,-85,-21,-27
-8,-49,-75,-21,-18
-34,-45,-64,-19,-10
-37,-42,-57,-19,-7
-23,-44,-58,-22,-9
-7,-50,-65,-28,-16
-5,-58,-71,-34,-21
-22,-64,-69,-33,-18
-50,-66,-57,-23,-6
-74,-62,-38,-9,10
-84,-55,-20,3,24
-78,-48,-10,8,30
-66,-44,-10,3,27
-56,-45,-19,-8,20
-50,-52,-29,-17,15
-44,-63,-34,-20,17
-32,-71,-30,-15,24
-13,-75,-20,-6,35
5,-72,-9,1,44
14,-65,-5,3,48
9,-58,-11,1,50
-7,-57,-25,-4,53
-24,-63,-42,-7,56
-35,-74,-55,-9,59
-36,-87,-59,-10,60
-35,-97,-54,-12,57
-40,-100,-44,-16,52
-56,-99,-32,-18,47
-80,-94,-24,-15,46
-101,-89,-21,-7,49
-110,-87,-22,7,54
-103,-89,-26,22,57
-86,-92,-31,33,59
-69,-94,-35,38,61
-63,-95,-37,38,65
-68,-92,-37,36,73
-79,-88,-35,35,81
-84,-85,-33,35,88
-79,-86,-31,34,88
-65,-93,-31,28,83
-53,-105,-34,19,76
-55,-118,-38,7,70
-74,-126,-40,0,70
-102,-126,-37,1,79
-125,-118,-27,13,93
-131,-105,-12,32,110
-118,-91,6,54,125
-93,-81,21,70,136
-69,-76,28,78,144
-57,-77,25,76,149
-57,-79,16,69,151
-64,-82,3,60,151
-69,-85,-9,50,147
-69,-91,-19,40,137
-65,-102,-28,27,123
-62,-117,-36,13,109
-64,-136,-44,-1,100
-70,-155,-52,-10,98
-74,-168,-55,-13,105
-72,-175,-53,-8,113
-64,-176,-47,0,120
-53,-174,-38,10,120
-48,-173,-31,18,116
-51,-172,-28,25,113
-56,-172,-30,32,113
-55,-173,-35,38,117
-42,-174,-40,41,121
-17,-177,-43,37,122
8,-184,-46,28,116
19,-193,-48,14,108
7,-203,-49,3,103
-21,-209,-50,0,105
-47,-209,-49,8,114
-55,-206,-47,23,125
-39,-204,-45,39,133
-10,-205,-45,51,135
12,-212,-48,56,132
11,-221,-55,54,130
-13,-226,-64,50,130
-42,-225,-71,47,134
-57,-218,-77,46,137
-44,-208,-81,44,135
-10,-201,-84,38,126
25,-201,-88,29,115
39,-206,-91,17,108
22,-213,-89,6,108
-19,-218,-79,2,118
-62,-218,-61,4,132
-88,-214,-37,12,143
-87,-210,-14,19,147
-66,-208,3,21,144
-42,-211,9,16,136
-32,-219,5,7,129
-44,-228,-4,-2,127
-70,-235,-11,-6,130
-90,-236,-14,-4,136
-90,-230,-13,2,140
-65,-222,-13,11,140
-27,-216,-16,16,137
5,-215,-23,18,133
14,-218,-31,18,132
-2,-224,-34,16,133
-30,-228,-32,17,136
-50,-227,-23,19,139
-47,-220,-14,22,139
-23,-210,-9,23,137
8,-200,-9,22,133
27,-191,-13,18,129
23,-183,-17,16,128
3,-176,-18,17,129
-18,-170,-14,24,131
-25,-165,-9,33,135
-10,-164,-6,42,137
18,-164,-6,47,136
45,-164,-9,48,131
60,-160,-12,46,124
61,-149,-12,45,115
54,-135,-11,44,106
45,-121,-9,45,100
39,-110,-8,45,97
33,-106,-9,43,97
20,-105,-8,40,99
0,-104,-5,37,101
-25,-98,1,36,100
-45,-88,10,36,97
-51,-75,16,38,92
-39,-65,18,39,88
-13,-60,14,39,86
17,-61,8,39,88
41,-65,3,40,93
50,-66,3,44,97
42,-62,10,49,99
23,-53,23,53,97
2,-41,39,54,94
-11,-27,56,54,93
-12,-13,72,54,95
-3,1,86,57,100
8,15,99,61,106
14,28,110,67,108
10,39,117,71,104
-2,47,117,70,94
-17,50,109,64,81
-27,48,94,54,69
-31,42,75,43,59
-31,33,56,36,53
-35,24,42,33,47
-45,17,33,37,39
-57,14,31,44,30
-64,17,31,51,23
-59,24,32,56,17
-41,35,29,54,15
-21,44,22,45,15
-12,49,10,31,15
-24,47,-4,17,14
-54,40,-16,9,12
-91,31,-26,10,11
-121,24,-30,18,11
-136,20,-29,32,12
-137,19,-27,43,10
-132,22,-23,49,6
-127,26,-20,49,2
-125,32,-17,46,-1
-122,40,-11,44,3
-115,49,-3,47,12
-106,61,7,54,23
-99,73,16,62,31
-100,84,22,68,32
-110,90,23,67,25
-125,91,18,59,14
-139,86,9,46,1
-148,73,-6,32,-10
-154,56,-23,19,-17
-159,37,-41,11,-23
-165,21,-56,8,-30
-170,11,-65,6,-37
-168,8,-63,5,-46
-156,11,-52,0,-54
-136,16,-35,-8,-62
-114,19,-17,-18,-67
-102,19,-4,-24,-69
-106,15,0,-25,-69
-125,11,-4,-20,-66
-151,9,-14,-10,-60
-170,10,-22,1,-51
-170,15,-24,9,-39
-150,22,-17,12,-27
-116,31,-5,10,-17
-83,40,9,5,-11
-67,44,18,-2,-12
-74,44,20,-10,-20
-103,39,17,-18,-32
-141,29,11,-26,-46
-172,18,4,-33,-58
-187,8,-3,-37,-66
-184,0,-13,-38,-67
-171,-4,-26,-36,-62
-158,-5,-39,-29,-53
-151,-4,-48,-20,-43
-151,2,-48,-11,-32
-152,10,-37,-3,-25
-151,20,-20,-1,-21
-144,30,-6,-4,-21
-136,35,0,-11,-22
-130,36,-5,-18,-22
-129,34,-15,-21,-17
-131,33,-21,-19,-9
-131,36,-19,-12,2
-124,43,-6,-4,14
-111,54,12,0,23
-98,63,28,0,26
-90,67,36,-3,25
-91,66,36,-6,18
-102,62,30,-8,9
-116,58,24,-6,1
-127,58,22,-5,-4
-132,62,26,-4,-4
-132,68,35,-6,0
-130,74,47,-9,6
-125,78,58,-10,10
-117,79,65,-7,11
-106,77,66,-1,6
-94,73,60,6,-1
-86,68,50,10,-8
-89,64,40,9,-13
-102,60,35,3,-13
-118,57,36,-3,-10
-127,56,42,-5,-5
-122,56,50,-2,1
-105,58,56,6,5
-89,60,58,16,9
-87,63,57,23,13
-103,67,56,23,16
-127,70,57,16,19
-143,73,60,6,19
-138,74,64,-4,17
-112,72,67,-10,12
-80,69,69,-12,6
-61,66,72,-10,2
-65,65,78,-8,2
-91,66,89,-6,8
-123,70,104,-6,17
-144,74,117,-4,27
-146,77,124,-1,32
-134,77,119,2,29
-121,75,105,1,18
-121,69,85,-4,4
-136,62,66,-13,-10
-159,54,53,-24,-18
-176,47,49,-32,-20
-175,41,51,-35,-18
-153,39,56,-34,-19
-121,39,59,-31,-25
-100,42,60,-31,-37
-102,43,60,-35,-51
-131,41,60,-40,-62
-172,36,61,-45,-65
-204,29,63,-46,-61
-205,23,65,-43,-52
-172,22,66,-38,-42
-118,26,66,-33,-33
-67,34,66,-29,-23
-35,44,68,-24,-12
-26,53,72,-17,3
-23,61,78,-6,25
-1,72,88,10,54
60,89,105,32,92
159,116,133,61,140
281,151,175,95,196
404,192,228,133,255
509,233,281,170,309
593,269,323,199,346
661,295,341,216,361
717,307,330,216,350
758,305,296,202,320
775,290,250,177,279
752,263,205,148,235
683,231,167,118,193
574,197,135,90,152
439,165,104,64,108
296,136,66,36,56
159,110,18,5,-4
31,83,-37,-29,-68
