source_row,split,variance,skewness,curtosis,entropy,class
1292,pool,0.52374,3.644,-4.0746,-1.9909,1
1223,pool,0.30081,0.17381,-1.7542,0.48921,1
219,pool,-0.16735,7.6274,1.2061,-3.6241,0
933,pool,0.26517,2.4066,-2.8416,-0.59958,1
1290,pool,-1.4094,-2.1252,-0.10397,-0.19225,1
443,pool,3.359,9.8022,-3.8209,-3.7133,0
1039,pool,-0.70867,-5.5602,4.0483,0.903,1
975,pool,-5.0301,7.5032,-0.13396,-7.5034,1
1287,pool,-6.4247,9.5311,0.022844,-6.8517,1
640,pool,3.8846,-3.0336,2.5334,0.20214,0
853,pool,-4.8861,7.0542,-0.17252,-6.959,1
623,pool,5.0429,-0.52974,0.50439,1.106,0
1262,pool,-1.9116,-6.1603,5.606,0.48533,1
376,pool,0.58836,10.7727,-1.3884,-4.3276,0
400,pool,2.9695,5.6222,0.27561,-1.1556,0
81,pool,2.8033,9.0862,-3.3668,-1.0224,0
467,pool,1.1472,3.5985,1.9387,-0.43406,0
49,pool,3.9102,6.065,-2.4534,-0.68234,0
1143,pool,-6.5773,6.8017,0.85483,-7.5344,1
1131,pool,-2.2918,-7.257,7.9597,0.9211,1
227,pool,0.5706,-0.0248,1.2421,-0.5621,0
824,pool,-1.979,3.2301,-1.3575,-2.5819,1
182,pool,-0.11783,-1.5789,8.03,-0.028031,0
655,pool,3.5127,2.9073,1.0579,0.40774,0
828,pool,-3.8073,-8.0971,10.1772,0.65084,1
1057,pool,-2.1059,1.1815,-0.53324,-0.82716,1
141,pool,2.0911,0.94358,4.5512,1.234,0
658,pool,-0.278,8.1881,-3.1338,-2.5276,0
717,pool,0.5195,-3.2633,3.0895,-0.9849,0
637,pool,2.1526,-6.1665,8.0831,-0.34355,0
1258,pool,-1.8974,3.5074,-1.7842,-3.8491,1
679,pool,2.4673,1.3926,1.7125,0.41421,0
1210,pool,-0.69078,-0.50077,-0.35417,0.47498,1
464,pool,-1.9458,11.2217,1.9079,-3.4405,0
270,pool,4.9342,2.4107,-0.17594,1.6245,0
328,pool,4.2164,9.4607,-4.9288,-5.2366,0
390,pool,3.7982,10.423,-4.1602,-4.9728,0
979,pool,0.75896,0.29176,-1.6506,0.83834,1
1142,pool,-0.49081,2.8452,-3.6436,-3.1004,1
362,pool,3.3848,3.2674,0.90967,0.25128,0
622,pool,3.3951,1.1484,2.1401,2.0862,0
838,pool,-6.2815,6.6651,0.52581,-7.0107,1
10,pool,1.5356,9.1772,-2.2718,-0.73535,0
44,pool,0.96441,5.8395,2.3235,0.066365,0
492,pool,3.0632,-3.3315,5.1305,0.8267,0
1036,pool,-3.9934,5.8333,0.54723,-4.9379,1
324,pool,3.884,10.0277,-3.9298,-4.0819,0
299,pool,1.143,0.83391,5.4552,-0.56984,0
822,pool,-4.0173,-8.3123,12.4547,-1.4375,1
771,pool,0.3434,0.12415,-0.28733,0.14654,1
1153,pool,-2.4835,-7.4494,6.8964,-0.64484,1
214,pool,0.68087,2.3259,4.9085,0.54998,0
74,pool,4.1654,-3.4495,3.643,1.0879,0
988,pool,-0.55648,3.2136,-3.3085,-2.7965,1
503,pool,2.0051,-6.8638,8.132,-0.2401,0
287,pool,1.3419,-4.4221,8.09,-1.7349,0
1233,pool,-4.1244,3.7909,-0.6532,-4.1802,1
614,pool,4.9249,0.68906,0.77344,1.2095,0
332,pool,2.0421,1.2436,4.2171,0.90429,0
26,pool,0.7057,-5.4981,8.3368,-2.8715,0
1065,pool,-3.6961,-13.6779,17.5795,-2.6181,1
742,pool,3.5862,-3.0957,2.8093,0.24481,0
173,pool,-1.6952,1.0657,8.8294,0.94955,0
271,pool,3.8417,10.0215,-4.2699,-4.9159,0
908,pool,-1.3907,-1.3781,2.3055,-0.021566,1
1062,pool,-2.3147,3.6668,-0.6969,-1.2474,1
926,pool,1.7425,3.6833,-4.0129,-1.7207,1
129,pool,4.6689,1.3098,0.055404,1.909,0
62,pool,0.49665,5.527,1.7785,-0.47156,0
157,pool,2.4226,-4.5752,5.947,0.21507,0
555,pool,2.6463,-4.8152,6.3549,0.003003,0
229,pool,3.1219,-3.137,1.9259,-0.37458,0
651,pool,0.21084,9.4359,-0.094543,-1.859,0
519,pool,4.2406,-2.4852,1.608,0.7155,0
760,pool,0.01727,8.693,1.3989,-3.9668,0
561,pool,4.0446,11.1741,-4.3582,-4.7401,0
1360,pool,0.066129,2.4914,-2.9401,-0.62156,1
923,pool,-1.4174,-2.2535,1.518,0.61981,1
309,pool,4.616,10.1788,-4.2185,-4.4245,0
307,pool,0.27451,9.2186,-3.2863,-4.8448,0
260,pool,3.0329,2.2948,2.1135,0.35084,0
330,pool,1.6988,2.9094,2.9044,0.11033,0
169,pool,-1.803,11.8818,2.0458,-5.2728,0
1027,pool,0.11806,0.39108,-0.98223,0.42843,1
859,pool,0.25943,5.0097,-5.0394,-6.3862,1
316,pool,0.3292,-4.4552,4.5718,-0.9888,0
419,pool,-1.2576,1.5892,7.0078,0.42455,0
428,pool,-1.3,10.2678,-2.953,-5.8638,0
994,pool,-0.46651,2.3383,-2.9812,-1.0431,1
40,pool,3.4805,9.7008,-3.7541,-3.4379,0
829,pool,-2.5912,-0.10554,1.2798,1.0414,1
775,pool,-0.61442,-0.091058,-0.31818,0.50214,1
58,pool,5.807,5.0097,-2.2384,0.43878,0
985,pool,-0.69745,-1.7672,-0.34474,-0.12372,1
1071,pool,-3.1423,-13.0365,15.6773,-0.66165,1
238,pool,3.8905,-2.1521,2.6302,1.1047,0
536,pool,1.9476,-4.7738,8.527,-1.8668,0
1120,pool,-1.4375,-1.8624,4.026,0.55127,1
732,pool,1.0182,9.109,-0.62064,-1.7129,0
798,pool,0.81583,4.84,-5.2613,-6.0823,1
1368,pool,0.40614,1.3492,-1.4501,-0.55949,1
1030,pool,-1.2369,-1.6906,2.518,0.51636,1
672,pool,0.51947,-3.2633,3.0895,-0.98492,0
333,pool,3.5594,1.3078,1.291,1.6556,0
779,pool,-0.77461,-1.8768,2.4023,1.1319,1
543,pool,2.8232,10.8513,-3.1466,-3.9784,0
684,pool,4.3365,-3.584,3.6884,0.74912,0
566,pool,1.5701,7.9129,0.29018,-2.1953,0
7,pool,3.5912,3.0129,0.72888,0.56421,0
970,pool,-2.1786,-6.4479,6.0344,-0.20777,1
1231,pool,0.6212,3.6771,-4.0771,-2.0711,1
1253,pool,-2.7083,-6.8266,7.5339,0.59007,1
836,pool,-0.94255,0.039307,-0.24192,0.31593,1
1246,pool,-1.1306,1.8458,-1.3575,-1.3806,1
27,pool,1.1432,-3.7413,5.5777,-0.63578,0
701,pool,3.9262,6.0299,-2.0156,-0.065531,0
1063,pool,-0.11716,0.60422,-0.38587,-0.059065,1
1316,pool,-2.9498,-8.273,10.2646,1.1629,1
1005,pool,-3.7181,-8.5089,12.363,-0.95518,1
281,pool,0.20977,-0.46146,7.7267,0.90946,0
119,pool,2.8969,0.70768,2.29,1.8663,0
343,pool,4.0329,0.23175,0.89082,1.1823,0
1227,pool,-4.0679,2.4955,0.79571,-1.1039,1
850,pool,-0.60975,-4.002,1.8471,0.6017,1
1314,pool,-1.5078,-7.3191,7.8981,1.2289,1
1149,pool,-0.26654,-0.64562,-0.42014,0.89136,1
490,pool,2.8237,2.8597,0.19678,0.57196,0
740,pool,1.8216,-6.4748,8.0514,-0.41855,0
757,pool,4.0127,10.1477,-3.9366,-4.0728,0
145,pool,3.8481,10.1539,-3.8561,-4.2228,0
313,pool,1.5902,2.2948,3.2403,0.18404,0
489,pool,1.1315,7.9212,1.093,-2.8444,0
3,pool,3.866,-2.6383,1.9242,0.10645,0
242,pool,-1.3931,1.5664,7.5382,0.78403,0
889,pool,-2.5701,-6.8452,8.9999,2.1353,1
19,pool,1.4479,-4.8794,8.3428,-2.1086,0
1085,pool,-1.48,-10.5244,9.9176,-0.5026,1
946,pool,-1.7697,3.4329,-1.2144,-2.3789,1
297,pool,0.051979,7.0521,-2.0541,-3.1508,0
618,pool,-0.278,8.1881,-3.1338,-2.5276,0
529,pool,3.6244,1.4609,1.3501,1.9284,0
878,pool,-5.1216,-5.3118,10.3846,-1.0612,1
161,pool,5.0452,3.8964,-1.4304,0.86291,0
1270,pool,-2.1241,-6.8969,5.5992,-0.47156,1
1370,pool,-3.7503,-13.4586,17.5932,-2.7771,1
340,pool,1.8205,6.7562,0.0099913,0.39481,0
39,pool,4.5679,3.1929,-2.1055,0.29653,0
1320,pool,0.66365,-0.045533,-0.18794,0.23447,1
155,pool,1.9358,8.1654,-0.023425,-2.2586,0
750,pool,0.88298,0.66009,6.0096,-0.43277,0
1261,pool,-3,-9.1566,9.5766,-0.73018,1
243,pool,1.6406,3.5488,1.3964,-0.36424,0
1192,pool,-2.5665,-6.8824,7.5416,0.70774,1
689,pool,2.6213,5.7919,0.065686,-1.5759,0
98,pool,2.1616,-6.8804,8.1517,-0.081048,0
413,pool,3.7767,9.7794,-3.9075,-3.5323,0
473,pool,3.8384,6.1851,-2.0439,-0.033204,0
667,pool,1.2262,0.89599,5.7568,-0.11596,0
378,pool,-1.9922,11.6542,2.6542,-5.2107,0
719,pool,4.0932,5.4132,-1.8219,0.23576,0
868,pool,-6.5084,8.7696,0.23191,-3.937,1
231,pool,-1.3389,1.552,7.0806,1.031,0
405,pool,0.3798,0.7098,0.7572,-0.4444,0
20,pool,5.2423,11.0272,-4.353,-4.1013,0
522,pool,0.81356,9.1566,-2.1492,-4.1814,0
966,pool,-0.21394,-0.68287,0.096532,1.1965,1
666,pool,1.8373,6.1292,0.84027,0.55257,0
776,pool,-0.36506,2.8928,-3.6461,-3.0603,1
686,pool,4.0715,7.6398,-2.0824,-1.1698,0
1298,pool,-2.1674,0.12415,-1.0465,-0.86208,1
1180,pool,-3.2778,1.8023,0.1805,-2.3931,1
156,pool,2.486,-0.99533,5.3404,-0.15475,0
781,pool,-3.5801,-12.9309,13.1779,-2.5677,1
258,development,2.2034,5.9947,0.53009,0.84998,0
176,development,3.583,-3.7971,3.4391,-0.12501,0
847,development,-2.1405,-0.16762,1.321,-0.20906,1
1155,development,-0.36025,-4.449,2.1067,0.94308,1
788,development,-2.6685,-10.4519,9.1139,-1.7323,1
1042,development,0.27331,4.8773,-4.9194,-5.8198,1
459,development,4.3848,-3.0729,3.0423,1.2741,0
1033,development,0.16358,-3.3584,1.3749,1.3569,1
114,development,4.2188,6.8162,-1.2804,0.76076,0
1294,development,-3.9698,3.6812,-0.60008,-4.0133,1
1107,development,-0.1269,-1.1505,-0.95138,0.57843,1
28,development,-0.38214,8.3909,2.1624,-3.7405,0
1307,development,-1.2244,1.7485,-1.4801,-1.4181,1
587,development,1.5456,8.5482,0.4187,-2.1784,0
769,development,-1.7582,2.7397,-2.5323,-2.234,1
387,development,-2.4953,11.1472,1.9353,-3.4638,0
1169,development,0.74067,1.7299,-3.1963,-0.1457,1
1066,development,-3.6012,-6.5389,10.5234,-0.48967,1
399,development,4.3937,0.35798,2.0416,1.2004,0
812,development,-0.86339,1.9348,-2.3729,-1.0897,1
175,development,1.8799,2.4707,2.4931,0.37671,0
305,development,2.3729,10.4726,-3.0087,-3.2013,0
274,development,2.6946,6.7976,-0.40301,0.44912,0
113,development,3.2351,9.647,-3.2074,-2.5948,0
1016,development,-0.90784,-7.9026,6.7807,0.34179,1
477,development,0.3798,0.7098,0.7572,-0.4444,0
1129,development,-2.1802,3.3791,-1.2256,-2.6621,1
504,development,4.9294,0.27727,0.20792,0.33662,0
601,development,1.1558,6.4003,1.5506,0.6961,0
1353,development,1.4896,3.4288,-4.0309,-1.4259,1
909,development,-1.786,-8.1157,7.0858,-1.2112,1
1321,development,-0.72068,-6.7583,5.8408,0.62369,1
423,development,4.8368,10.0132,-4.3239,-4.3276,0
1068,development,-0.82601,2.9611,-1.2864,-1.4647,1
434,development,2.229,9.6325,-3.1123,-2.7164,0
277,development,4.052,-0.16555,0.45383,0.51248,0
455,development,1.602,6.1251,0.52924,0.47886,0
912,development,2.031,1.852,-3.0121,0.003003,1
741,development,-2.4473,12.6247,0.73573,-7.6612,0
424,development,-0.12196,8.8068,0.94566,-4.2267,0
560,development,2.0165,-0.25246,5.1707,1.0763,0
856,development,-1.8782,-6.5865,4.8486,-0.021566,1
192,development,3.9663,10.1684,-4.1131,-4.6056,0
547,development,1.4507,8.7903,-2.2324,-0.65259,0
377,development,3.2303,7.8384,-3.5348,-1.2151,0
1209,development,-1.9551,-6.9756,5.5383,-0.12889,1
265,development,2.483,6.6155,-0.79287,-0.90863,0
963,development,-1.8076,-8.8131,8.7086,-0.21682,1
594,development,-2.7914,1.7734,6.7756,-0.39915,0
1352,development,1.3183,1.9017,-3.3111,0.065071,1
670,development,4.3634,0.46351,1.4281,2.0202,0
1275,development,-2.5526,-7.3625,6.9255,-0.66811,1
1201,development,-1.8343,-6.5907,5.6429,0.54998,1
319,development,1.5799,-4.7076,7.9186,-1.5487,0
1311,development,-3.3458,-0.50491,2.6328,0.53705,1
861,development,-3.4605,2.6901,0.16165,-1.0224,1
674,development,-1.8348,11.0334,3.1863,-4.8888,0
827,development,-4.211,-12.4736,14.9704,-1.3884,1
422,development,-1.1497,1.2954,7.701,0.62627,0
876,development,-1.8629,-0.84841,2.5377,0.097399,1
922,development,-2.8833,1.7713,0.68946,-0.4638,1
285,development,-1.3,10.2678,-2.953,-5.8638,0
1116,development,-0.29858,2.4769,-2.9512,-0.66165,1
736,development,3.5358,6.7086,-0.81857,0.47886,0
632,development,1.8994,0.97462,4.2265,0.81377,0
647,development,1.162,10.2926,-1.2821,-4.0392,0
840,development,-1.3414,-2.0776,2.8093,0.60688,1
1073,development,-1.366,0.18416,0.90539,1.5806,1
1152,development,-2.3142,-0.68494,1.9833,-0.44829,1
557,development,1.5673,7.9274,-0.056842,-2.1694,0
948,development,-1.682,-6.8121,7.1398,1.3323,1
426,development,1.742,-4.809,8.2142,-2.0659,0
88,development,0.87603,6.8141,0.84198,-0.17156,0
369,development,3.4985,3.1639,0.22677,-0.1651,0
548,development,3.4647,-3.9172,3.9746,0.36119,0
690,development,3.0242,-3.3378,2.5865,-0.54785,0
1322,development,-1.9966,-9.5001,9.682,-0.12889,1
795,development,-1.6244,-6.3444,4.6575,0.16981,1
1158,development,-5.2049,7.259,0.070827,-7.3004,1
1323,development,-0.97325,-6.4168,5.6026,1.0323,1
77,test,3.7935,7.9853,-2.5477,-1.872,0
484,test,0.96788,7.1907,1.2798,-2.4565,0
1095,test,2.0177,1.7982,-2.9581,0.2099,1
384,test,3.8117,10.1457,-4.0463,-4.5629,0
406,test,0.58982,7.4266,1.2353,-2.9595,0
1188,test,-4.0218,-8.304,12.555,-1.5099,1
1151,test,-4.2091,4.7283,-0.49126,-5.2159,1
1122,test,-4.6765,-5.6636,10.969,-0.33449,1
624,test,3.7758,7.1783,-1.5195,0.40128,0
412,test,4.0047,0.45937,1.3621,1.6181,0
1052,test,-3.7747,2.5162,0.83341,-0.30993,1
755,test,2.3969,0.23589,4.8477,1.437,0
295,test,2.5068,1.1588,3.9249,0.12585,0
980,test,1.6799,4.2068,-4.5398,-2.3931,1
1018,test,-0.93587,-5.1008,4.5367,1.3866,1
259,test,3.744,0.79459,0.95851,1.0077,0
997,test,-2.3142,2.0838,-0.46813,-1.6767,1
185,test,-1.7559,11.9459,3.0946,-4.8978,0
712,test,1.7257,-4.4697,8.2219,-1.8073,0
1182,test,-3.5895,-6.572,10.5251,-0.16381,1
786,test,-1.6662,-0.30005,1.4238,0.024986,1
1252,test,-0.77688,0.13036,-0.031137,-0.35389,1
1354,test,0.11592,3.2219,-3.4302,-2.8457,1
545,test,4.2458,1.1981,0.66633,0.94696,0
29,test,6.5633,9.8187,-4.4113,-3.2258,0
1161,test,-1.5951,-6.572,4.7689,-0.94354,1
1251,test,-2.4365,3.6026,-1.4166,-2.8948,1
61,test,2.888,0.44696,4.5907,-0.24398,0
761,test,3.2414,0.40971,1.4015,1.1952,0
1236,test,-3.5359,0.30417,0.6569,-0.2957,1
364,test,2.805,0.57732,1.3424,1.2133,0
469,test,4.5707,7.2094,-3.2794,-1.4944,0
588,test,1.4276,8.3847,-2.0995,-1.9677,0
1273,test,-4.2333,4.9166,-0.49212,-5.3207,1
752,test,2.2546,8.0992,-0.24877,-3.2698,0
518,test,1.762,4.3682,2.1384,0.75429,0
120,test,0.9297,-3.7971,4.6429,-0.2957,0
1242,test,-2.2811,-0.85669,2.7185,0.044382,1
680,test,0.77805,6.6424,-1.1425,-1.0573,0
599,test,1.105,7.4432,0.41099,-3.0332,0
240,test,2.3952,9.5083,-3.1783,-3.0086,0
50,test,1.6349,3.286,2.8753,0.087054,0
284,test,0.3223,-0.89808,8.0883,0.69222,0
6,test,4.3684,9.6718,-3.9606,-3.1625,0
1078,test,-1.6001,-9.5828,9.4044,0.081882,1
137,test,5.438,9.4669,-4.9417,-3.9202,0
768,test,-2.2804,-0.30626,1.3347,1.3763,1
1331,test,-1.1005,-7.2508,6.0139,0.36895,1
389,test,-2.2527,11.5321,2.5899,-3.2737,0
478,test,3.4893,6.69,-1.2042,-0.38751,0
493,test,-1.8411,10.8306,2.769,-3.0901,0
162,test,3.5499,8.6165,-3.2794,-1.2009,0
633,test,3.6941,-3.9482,4.2625,1.1577,0
250,test,1.0135,8.4551,-1.672,-2.0815,0
595,test,5.2032,3.5116,-1.2538,1.0129,0
729,test,0.37984,0.70975,0.75716,-0.44441,0
705,test,3.7022,6.9942,-1.8511,-0.12889,0
170,test,0.11739,6.2761,-1.5495,-2.4746,0
222,test,2.4196,6.4665,-0.75688,0.228,0
1008,test,-0.17296,-1.1816,1.3818,0.7336,1
1230,test,0.23874,2.0879,-3.3522,-0.66553,1
286,test,1.7747,-6.4334,8.15,-0.89828,0
1076,test,0.37637,-0.82358,0.78543,0.74524,1
358,test,3.2051,8.6889,-2.9033,-0.7819,0
931,test,-2.2214,-0.23798,0.56008,0.05602,1
727,test,0.040498,8.5234,1.4461,-3.9306,0
1024,test,-1.7713,-10.7665,10.2184,-1.0043,1
1183,test,-5.0477,-5.8023,11.244,-0.3901,1
278,test,1.3638,-4.7759,8.4182,-1.8836,0
302,test,2.9719,6.8369,-0.2702,0.71291,0
268,test,3.8496,9.7939,-4.1508,-4.4582,0
95,test,3.2718,1.7837,2.1161,0.61334,0
1198,test,-0.82053,0.65181,-0.48869,-0.52716,1
1365,test,-2.8391,-6.63,10.4849,-0.42113,1
451,test,3.6922,-3.9585,4.3439,1.3517,0
462,test,3.0948,8.7324,-2.9007,-0.96682,0
1268,test,-2.4554,-9.0407,8.862,-0.86983,1
726,test,3.6181,-3.7454,2.8273,-0.71208,0
515,test,2.0153,1.8479,3.1375,0.42843,0
642,test,0.94225,5.8561,1.8762,-0.32544,0
